tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20180725A,180725.J0613+67,-9999,93.42,0.04,-9999,67.1,0.2,-9999,147.29,21.29,30.0,20.0,-9999,-9999,-9999,-9999,19.2,716.6,0,2.7,0,5.0,33.2,715.809,0.004,644.2,635.4,0.00295,0.0011,0.0003,2.0,1.0,-9999,4.0,2.0,-9999,0,58324.749803206,2e-09,58324.74958856,2e-09,0.0003,8e-05,38.0,4.0,-46.0,4.0,760.1,485.3,607.4,371857.954,371481,0.403,1
FRB20180727A,180727.J1311+26,-9999,197.7,0.1,-9999,26.4,0.3,-9999,24.76,85.6,10.0,7.0,-9999,-9999,-9999,-9999,10.4,642.1,0,1.9,0,3.1,12.2,642.13,0.02,620.9,622.4,0.00295,<0.0017,-9999,0.6,0.3,-9999,2.3,0.8,-9999,0,58326.036261585,4e-09,58326.036069031,6e-09,0.0014,0.0002,4.0,2.0,-9.0,3.0,800.2,400.2,493.3,382969.318,381818,0.387,1
FRB20180729A,180729.J1316+55,-9999,199.4,0.1,-9999,55.58,0.08,-9999,115.26,61.16,20.0,10.0,-9999,-9999,-9999,-9999,32,108.4,0,4.6,0,8.6,206.6,109.5942,0.0003,78.8,86.8,0.00098,0.000157,4e-06,12.0,7.0,-9999,20.0,10.0,-9999,0,58328.0335647983,3e-10,58328.0335319349,3e-10,<0.00010,-9999,16.5,0.2,-30.2,0.4,692.7,400.2,525.6,264732.041,186953,0.399,1
FRB20180729B,180729.J0558+56,-9999,89.9,0.3,-9999,56.5,0.2,-9999,156.9,15.68,20.0,10.0,-9999,-9999,-9999,-9999,12.4,318.6,0,0.9,0,1.7,22,317.224,0.004,223.2,198.8,0.00197,0.0007,0.0002,0.9,0.6,-9999,1.2,0.7,-9999,0,58328.728032398,4e-09,58328.727937274,4e-09,0.00031,8e-05,14.0,3.0,-15.0,3.0,800.2,441.8,657.5,425139.488,421337,0.323,1
FRB20180730A,180730.J0353+87,-9999,57.39,0.03,-9999,87.2,0.2,-9999,125.11,25.11,300.0,100.0,-9999,200.0,100.0,-9999,69.5,849.2,3.3,2.3,6.1,4.4,89.8,848.904,0.002,789.7,790.5,0.00492,0.00207,7e-05,5.0,3.0,-9999,30.0,10.0,-9999,0,58329.151134266,1e-09,58329.15087971,1e-09,0.00047,4e-05,4.3,0.3,-11.3,0.5,759.2,400.2,483.5,429165.844,417689,0.329,1
FRB20180801A,180801.J2130+72,-9999,322.53,0.06,-9999,72.7,0.2,-9999,109.21,15.46,40.0,20.0,-9999,30.0,20.0,-9999,20.4,656.7,31.0,4.4,66.9,8.4,40.9,655.73,0.02,565.6,547.7,0.00983,0.0055,0.0004,1.1,0.7,-9999,8.0,5.0,-9999,0,58331.366249872,4e-09,58331.366053242,6e-09,0.0006,0.0002,60.0,5.0,-75.0,6.0,709.3,500.2,595.6,804325.253,800121,0.357,1
FRB20180806A,180806.J1515+75,-9999,228.56,0.07,-9999,75.6,0.4,-9999,112.27,38.4,50.0,30.0,-9999,40.0,20.0,-9999,13.9,739.2,2.5,0.4,4.6,0.8,14.4,739.948,0.008,699.3,706.0,0.00295,<0.0016,-9999,2.0,2.0,-9999,8.0,7.0,-9999,0,58336.592511576,3e-09,58336.592289692,4e-09,0.0014,0.0001,0.0,1.0,0.0,2.0,800.2,400.2,665.3,370874.518,369658,0.406,1
FRB20180810A,180810.J0646+34,-9999,101.5,0.1,-9999,34.9,0.2,-9999,180.67,14.06,15.0,8.0,-9999,-9999,-9999,-9999,13.1,415.7,0,1.5,0,2.7,16.5,414.88,0.004,310.2,274.7,0.00197,0.00025,8e-05,1.1,0.9,-9999,2.0,1.0,-9999,0,58340.72847224,8e-08,58340.72834783,8e-08,0.00032,7e-05,1.0,1.0,-2.0,2.0,800.2,400.2,552.9,356074.278,356889,0.427,1
FRB20180810B,180810.J1159+83,-9999,180.41,0.02,-9999,83.1,0.2,-9999,124.71,33.82,60.0,30.0,-9999,40.0,30.0,-9999,38.6,169.8,2.7,1.1,4.7,1.8,55.1,169.139,0.002,123.3,129.6,0.00098,0.0002,1e-05,5.0,1.0,-9999,8.0,2.0,-9999,0,58340.944953709,2e-09,58340.94490299,2e-09,0.00031,3e-05,-0.8,0.4,-4.1,0.7,778.6,400.2,400.2,191482.92,183305,0.411,1
FRB20180812A,180812.J0112+80,-9999,19.3,0.3,-9999,80.8,0.3,-9999,124.02,17.96,50.0,30.0,-9999,40.0,30.0,-9999,12.5,795.8,6.2,2.1,12.2,4.1,20.5,802.45,0.03,722.1,708.4,0.00786,0.0028,0.0003,0.9,0.6,-9999,5.0,3.0,-9999,0,58342.490092581,4e-09,58342.48985195,1e-08,<0.0013,-9999,-3.0,1.0,-8.0,4.0,586.4,400.2,400.2,563105.45,560873,0.399,1
