frb_name,utc,telescope,DM_galaxy,DM,width,S/N,Flux,center frequency (MHz),F_obs (Jy ms),DM_excess (cm^-3 pc),channel bandwidth (MHz),More than One
FRB190711,2019/07/11 1:53:41,ASKAP,56.4,593.1,6.5,23.8,null,1320,34.00,536.7,1.00,x
FRB190611,2019/06/11 5:45:43,ASKAP,57.83,321.4,2,9.3,null,1320,10.00,263.57,1.00,
FRB190608,2019/06/08 22:48:13,ASKAP,37.2,338.7,6,16.1,null,1320,26.00,301.5,1.00,
FRB190102,2019/01/02 5:38:43,ASKAP,57.3,363.6,1.7,14,null,1320,14.00,306.3,1.00,
FRB181112,2018/11/12 17:31:15,ASKAP,102,589.27,2.1,19.3,null,1272.5,26.00,487.27,,
FRB180924,2018/09/24 16:23:13,ASKAP,40.5,361.42,1.3,194,12.3,1320,16.00,320.92,1.00,
FRB180525,2018/05/25 15:19:07,ASKAP,31,388.1,3.8,27.4,78.9,1297,300.00,357.1,1.00,
FRB180515,2018/05/15 21:57:26,ASKAP,33,355.2,1.9,12.1,24.2,1320,46.00,322.2,1.00,
FRB180430,2018/04/30 9:59:59,ASKAP,165.44,264.1,1.2,28.2,147.5,1297,177.00,98.66,1.00,
FRB180417,2018/04/17 13:18:31,ASKAP,26.15,474.8,2.52,24.2,21.8,1272.5,55.00,448.65,1.00,
FRB180324,2018/03/24 9:31:47,ASKAP,70,431,4.3,9.8,16.5,1297,71.00,361,1.00,
FRB180315,2018/03/15 5:05:31,ASKAP,36,479,2.4,10.4,23.3,1297,56.00,443,1.00,
FRB180212,2018/02/12 23:45:04,ASKAP,33,167.5,1.81,18.3,53,1297,96.00,134.5,1.00,
FRB180131,2018/01/31 5:45:04,ASKAP,40,657.7,4.5,13.8,22.2,1297,100.00,617.7,1.00,
FRB180130,2018/01/30 4:55:30,ASKAP,39,343.5,4.1,10.2,23.1,1297,95.00,304.5,1.00,
FRB180128.2,2018/01/28 4:53:27,ASKAP,40,495.9,2.3,9.6,28.7,1297,66.00,455.9,1.00,
FRB180128.0,2018/01/28 0:59:39,ASKAP,32,441.4,2.9,12.4,17.5,1297,51.00,409.4,1.00,
FRB180119,2018/01/19 12:24:31,ASKAP,36,402.7,2.7,15.9,40.7,1297,110.00,366.7,1.00,
FRB180110,2018/01/10 7:34:35,ASKAP,38,715.7,3.2,35.6,128.1,1297,420.00,677.7,1.00,
FRB171216,2017/12/16 17:59:11,ASKAP,37,203.1,1.9,8,21,1297,40.00,166.1,1.00,
FRB171213,2017/12/13 14:22:40,ASKAP,36,158.6,1.5,25.1,88.6,1297,133.00,122.6,1.00,
FRB171116,2017/11/16 14:59:33,ASKAP,36,618.5,3.2,11.8,19.6,1297,63.00,582.5,1.00,
FRB171020,2017/10/20 10:27:59,ASKAP,38,114.1,3.2,19.5,117.6,1297,200.00,76.1,1.00,
FRB171019,2017/10/19 13:26:40,ASKAP,37,460.8,5.4,23.4,40.5,1297,219.00,423.8,1.00,
FRB171004,2017/10/04 3:23:39,ASKAP,38,304,2,10.9,22,1297,44.00,266,1.00,
FRB171003,2017/10/03 4:07:24,ASKAP,40,463.2,2,13.8,40.5,1297,81.00,423.2,1.00,
FRB170906,2017/09/06 13:06:56,ASKAP,39,390.3,2.5,17,29.6,1297,74.00,351.3,1.00,
FRB170712,2017/07/12 13:22:17,ASKAP,38,312.79,1.4,12.7,37.8,1297,53.00,274.79,1.00,
FRB170707,2017/07/07 6:17:34,ASKAP,36,235.2,3.5,9.5,14.8,1297,52.00,199.2,1.00,
FRB170428,2017/04/28 18:02:35,ASKAP,40,991.7,4.4,10.5,7.7,1320,34.00,951.7,1.00,
FRB170416,2017/04/16 23:11:13,ASKAP,40,523.2,5,13,19.4,1320,97.00,483.2,1.00,
FRB170107,2017/01/07 20:05:08,ASKAP,35,609.5,2.4,16,24.1,1320,58.00,574.5,1.00,X
FRB190907.J08+46,2019/09/07 17:02:43,CHIME/FRB,53,310.9,3,0,0.3,600,1.70,257.9,0.02,X
