"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB191108","2019/11/08 19:48:50.471","Apertif","ARTS","null","null","5","0.0416","null","01:33:47","+31:51:30","133.3","-30.1","0.08192","300","1370","2","null","null","null","52","NE2001","588.1&plusmn0.1","0.34","103","27","null","null","null","null","null","0.5","null","null","474&plusmn3","null","null"
"FRB190907.J08+46","2019/09/07 17:02:43.311","CHIME/FRB","null","null","null","14","11","90","08:09","+46:16","173.4","32.3","0.98304","400","600","2","null","null","null","53","NE2001","310.9&plusmn0.4","3","0","0.3","null","null","null","null","null","null","null","null","null","null","null"
"FRB190711","2019/07/11 01:53:40.861","ASKAP","null","null","null","0.006","0.003","0","21:57:40.68","-80:21:28.8","310.9078","-33.9023","1.728","336","1320","2","2","null","null","56.4","NE2001","593.1&plusmn0.4","6.5","23.8","null","null","null","null","null","null","1.01&plusmn0.02","0.01&plusmn0.02","null","9&plusmn2","0.522","null"
"FRB190611","2019/06/11 05:45:43.299","ASKAP","null","null","null","0.015","0.005","0","21:22:58.91","-79:23:51.3","312.9352","-33.2818","1.728","336","1320","2","2","null","null","57.83","NE2001","321.4&plusmn0.2","2","9.3","null","null","-5.86&plusmn1.98","0.18&plusmn0.02","null","null","0.93&plusmn0.03","0.15&plusmn0.02","null","20&plusmn4","0.378","null"
"FRB190608","2019/06/08 22:48:12.883","ASKAP","null","null","null","0.01","0.0006","0","22:16:04.75","-07:53:53.6","53.2088","-48.5296","1.728","336","1320","2","2","null","null","37.2","NE2001","338.7&plusmn0.5","6","16.1","null","null","-3.5&plusmn0.9","3.3&plusmn0.2","null","null","0.91&plusmn0.03","0.09&plusmn0.02","null","353&plusmn2","0.1178","null"
"FRB190604.J1435+53","2019/06/06 05:34:23.574","CHIME/FRB","null","null","null","11","10","90","14:35","+53:17","93.8","57.6","0.98304","400","600","2","null","null","null","32","NE2001","552.7&plusmn0.2","1.2","0","0.6","null","null","null","null","null","1","null","null","-20&plusmn1","null","null"
"FRB190523","2019/05/23 06:05:55.815","DSA-10","","","null","null","null","null","13:48:15.6","+72:28:11","117.03","44","0.131072","152.6","1411","null","null","null","null","37","NE2001","760.8&plusmn0.6","0.42","11.5","null","null","null","1.4&plusmn0.2","one-sided exponential","null","null","null","null","null","0.66","null"
"FRB190417.J1939+59","2019/04/17 13:55:44.814","CHIME/FRB","null","null","null","16","13","90","19:39","+59:24","91.5","17.4","0.98304","400","600","2","null","null","null","78","NE2001","1378.1&plusmn0.2","3.3","0","0.5","null","null","null","null","null","null","null","null","null","null","null"
"FRB190303.J1353+48","2019/07/02 03:14:39.762","CHIME/FRB","null","null","null","15","14","90","13:53","+48:15","97.5","65.7","0.98304","400","600","2","null","null","null","29","NE2001","222.4&plusmn0.2","4.5","0","0.5","null","null","null","null","null","0.2","null","null","-499.8&plusmn0.7","null","null"
"FRB190222.J2052+69","2019/02/22 18:46:01.367","CHIME/FRB","null","null","null","11","10","90","20:52","69:50","104.9","15.9","1","400","600","2","null","null","null","87","NE2001","460.6&plusmn0.1","2.97","0","null","null","null","null","null","null","null","null","null","null","null","null"
