"frb_name","telescope","rmp_snr"
"FRB150807","parkes","0"
"FRB180908.J1232+74","CHIME/FRB","0"
"FRB180916.J0158+65","CHIME/FRB","0"
"FRB181017.J1705+68","CHIME/FRB","0"
"FRB181030.J1054+73","CHIME/FRB","0"
"FRB181119.J12+65","CHIME/FRB","0"
"FRB181123","FAST","0"
"FRB181128.J0456+63","CHIME/FRB","0"
"FRB190116.J1249+27","CHIME/FRB","0"
"FRB190117.J2207+17","CHIME/FRB","0"
"FRB190208.J1855+46","CHIME/FRB","0"
"FRB190209.J0937+77","CHIME/FRB","0"
"FRB190212.J02+20","CHIME/FRB","0"
"FRB190212.J18+81","CHIME/FRB","0"
"FRB190222.J2052+69","CHIME/FRB","0"
"FRB190303.J1353+48","CHIME/FRB","0"
"FRB190417.J1939+59","CHIME/FRB","0"
"FRB190604.J1435+53","CHIME/FRB","0"
"FRB190907.J08+46","CHIME/FRB","0"
"FRB151018","Pushchino","6.2"
"FRB161202","Pushchino","7.1"
"FRB121029","Pushchino","7.3"
"FRB141216","Pushchino","7.6"
"FRB160206","Pushchino","7.9"
"FRB171216","ASKAP","8"
"FRB180321","Pushchino","8.2"
"FRB170606","Pushchino","8.3"
"FRB141113","arecibo","8.4"
"FRB151125","Pushchino","8.5"
"FRB160920","Pushchino","9.1"
"FRB140212","Pushchino","9.2"
"FRB190611","ASKAP","9.3"
"FRB170707","ASKAP","9.5"
"FRB180128.2","ASKAP","9.6"
"FRB180324","ASKAP","9.8"
"FRB151206","parkes","10"
"FRB131030","Pushchino","10.1"
"FRB010305","Parkes","10.2"
"FRB180130","ASKAP","10.2"
"FRB180315","ASKAP","10.4"
"FRB170428","ASKAP","10.5"
"FRB171004","ASKAP","10.9"
"FRB010312","parkes","11"
"FRB110626","parkes","11"
"FRB120127","parkes","11"
"FRB180528","UTMOST","11"
"FRB180311","parkes","11.5"
"FRB190523","DSA-10","11.5"
"FRB171116","ASKAP","11.8"
"FRB160608","UTMOST","12"
"FRB181228","UTMOST","12"
"FRB180515","ASKAP","12.1"
"FRB180128.0","ASKAP","12.4"
"FRB170712","ASKAP","12.7"
"FRB110214","parkes","13"
"FRB160317","UTMOST","13"
"FRB160410","UTMOST","13"
"FRB170416","ASKAP","13"
"FRB171003","ASKAP","13.8"
"FRB180131","ASKAP","13.8"
"FRB121102","arecibo","14"
"FRB130729","parkes","14"
"FRB190102","ASKAP","14"
"FRB180727.J1311+26","CHIME/FRB","14.2"
"FRB180119","ASKAP","15.9"
"FRB110703","parkes","16"
"FRB121002","parkes","16"
"FRB140514","parkes","16"
"FRB160102","parkes","16"
"FRB170107","ASKAP","16"
"FRB190608","ASKAP","16.1"
"FRB010621","parkes","16.3"
"FRB010125","parkes","17"
"FRB151230","parkes","17"
"FRB170906","ASKAP","17"
"FRB181016","UTMOST","17"
"FRB180806.J1515+75","CHIME/FRB","17.5"
"FRB180810.J0646+34","CHIME/FRB","17.7"
"FRB150610","parkes","18"
"FRB180212","ASKAP","18.3"
"FRB150215","parkes","19"
"FRB181112","ASKAP","19.3"
"FRB171020","ASKAP","19.5"
"FRB180812.J0112+80","CHIME/FRB","19.8"
"FRB170922","UTMOST","20"
"FRB130626","parkes","21"
"FRB180714","parkes","22"
"FRB010724","parkes","23"
"FRB171019","ASKAP","23.4"
"FRB190711","ASKAP","23.8"
"FRB180814.J0422+73","CHIME/FRB","24"
"FRB180417","ASKAP","24.2"
"FRB171213","ASKAP","25.1"
"FRB180729.J0558+56","CHIME/FRB","25.2"
"FRB180525","ASKAP","27.4"
"FRB180430","ASKAP","28.2"
"FRB130628","parkes","29"
"FRB180814.J1554+74","CHIME/FRB","29.7"
"FRB090625","parkes","30"
"FRB131104","parkes","30"
"FRB180725.J0613+67","CHIME/FRB","34.5"
"FRB180110","ASKAP","35.6"
"FRB150418","parkes","39"
"FRB171209","parkes","40"
"FRB180801.J2130+72","CHIME/FRB","41.1"
"FRB110523","GBT","42"
"FRB110220","parkes","49"
"FRB180810.J1159+83","CHIME/FRB","56.7"
"FRB181017","UTMOST","66"
"FRB180817.J1533+42","CHIME/FRB","69.9"
"FRB180730.J0353+87","CHIME/FRB","92.4"
"FRB191108","Apertif","103"
"FRB170827","UTMOST","110"
"FRB180924","ASKAP","194"
"FRB180729.J1316+55","CHIME/FRB","243.1"
"FRB180309","parkes","411"
