"frb_name","telescope","rmp_snr","rmp_flux"
"FRB160317","UTMOST","13","3"
"FRB160410","UTMOST","13","7"
"FRB160608","UTMOST","12","4.3"
"FRB170827","UTMOST","110","60"
"FRB170922","UTMOST","20","5.19"
"FRB180528","UTMOST","11","15.75"
"FRB181016","UTMOST","17","10.19"
"FRB181017","UTMOST","66","161"
"FRB181228","UTMOST","12","19.23"
"FRB121029","Pushchino","7.3","0.34"
"FRB131030","Pushchino","10.1","0.24"
"FRB140212","Pushchino","9.2","0.26"
"FRB141216","Pushchino","7.6","0.23"
"FRB151018","Pushchino","6.2","1.4"
"FRB151125","Pushchino","8.5","0.54"
"FRB160206","Pushchino","7.9","0.26"
"FRB160920","Pushchino","9.1","0.22"
"FRB161202","Pushchino","7.1","0.29"
"FRB170606","Pushchino","8.3","0.54"
"FRB180321","Pushchino","8.2","0.54"
"FRB010305","Parkes","10.2","4.2"
"FRB010125","parkes","17","0.3"
"FRB010312","parkes","11","0.25"
"FRB010621","parkes","16.3","0.41"
"FRB010724","parkes","23","30"
"FRB090625","parkes","30","1.14"
"FRB110214","parkes","13","27"
"FRB110220","parkes","49","1.3"
"FRB110626","parkes","11","0.4"
"FRB110703","parkes","16","0.5"
"FRB120127","parkes","11","0.5"
"FRB121002","parkes","16","0.43"
"FRB130626","parkes","21","0.74"
"FRB130628","parkes","29","1.91"
"FRB130729","parkes","14","0.22"
"FRB131104","parkes","30","1.12"
"FRB140514","parkes","16","0.471"
"FRB150215","parkes","19","0.7"
"FRB150418","parkes","39","2.2"
"FRB150610","parkes","18","0.7"
"FRB150807","parkes","0","128"
"FRB151206","parkes","10","0.3"
"FRB151230","parkes","17","0.42"
"FRB160102","parkes","16","0.5"
"FRB171209","parkes","40","1.48"
"FRB180309","parkes","411","27.6"
"FRB180311","parkes","11.5","0.15"
"FRB180714","parkes","22","0.6"
"FRB110523","GBT","42","0.6"
"FRB181123","FAST","0","0.065"
"FRB190523","DSA-10","11.5","null"
"FRB180725.J0613+67","CHIME/FRB","34.5","null"
"FRB180727.J1311+26","CHIME/FRB","14.2","null"
"FRB180729.J0558+56","CHIME/FRB","25.2","null"
"FRB180729.J1316+55","CHIME/FRB","243.1","null"
"FRB180730.J0353+87","CHIME/FRB","92.4","null"
"FRB180801.J2130+72","CHIME/FRB","41.1","null"
"FRB180806.J1515+75","CHIME/FRB","17.5","null"
"FRB180810.J0646+34","CHIME/FRB","17.7","null"
"FRB180810.J1159+83","CHIME/FRB","56.7","null"
"FRB180812.J0112+80","CHIME/FRB","19.8","null"
"FRB180814.J0422+73","CHIME/FRB","24","null"
"FRB180814.J1554+74","CHIME/FRB","29.7","null"
"FRB180817.J1533+42","CHIME/FRB","69.9","null"
"FRB180908.J1232+74","CHIME/FRB","0","0.6"
"FRB180916.J0158+65","CHIME/FRB","0","null"
"FRB181017.J1705+68","CHIME/FRB","0","null"
"FRB181030.J1054+73","CHIME/FRB","0","null"
"FRB181119.J12+65","CHIME/FRB","0","null"
"FRB181128.J0456+63","CHIME/FRB","0","null"
"FRB190116.J1249+27","CHIME/FRB","0","null"
"FRB190117.J2207+17","CHIME/FRB","0","1.7"
"FRB190208.J1855+46","CHIME/FRB","0","0.4"
"FRB190209.J0937+77","CHIME/FRB","0","null"
"FRB190212.J02+20","CHIME/FRB","0","null"
"FRB190212.J18+81","CHIME/FRB","0","0.4"
"FRB190222.J2052+69","CHIME/FRB","0","null"
"FRB190303.J1353+48","CHIME/FRB","0","0.5"
"FRB190417.J1939+59","CHIME/FRB","0","0.5"
"FRB190604.J1435+53","CHIME/FRB","0","0.6"
"FRB190907.J08+46","CHIME/FRB","0","0.3"
"FRB170107","ASKAP","16","24.1"
"FRB170416","ASKAP","13","19.4"
"FRB170428","ASKAP","10.5","7.7"
"FRB170707","ASKAP","9.5","14.8"
"FRB170712","ASKAP","12.7","37.8"
"FRB170906","ASKAP","17","29.6"
"FRB171003","ASKAP","13.8","40.5"
"FRB171004","ASKAP","10.9","22"
"FRB171019","ASKAP","23.4","40.5"
"FRB171020","ASKAP","19.5","117.6"
"FRB171116","ASKAP","11.8","19.6"
"FRB171213","ASKAP","25.1","88.6"
"FRB171216","ASKAP","8","21"
"FRB180110","ASKAP","35.6","128.1"
"FRB180119","ASKAP","15.9","40.7"
"FRB180128.0","ASKAP","12.4","17.5"
"FRB180128.2","ASKAP","9.6","28.7"
"FRB180130","ASKAP","10.2","23.1"
"FRB180131","ASKAP","13.8","22.2"
"FRB180212","ASKAP","18.3","53"
"FRB180315","ASKAP","10.4","23.3"
"FRB180324","ASKAP","9.8","16.5"
"FRB180417","ASKAP","24.2","21.8"
"FRB180430","ASKAP","28.2","147.5"
"FRB180515","ASKAP","12.1","24.2"
"FRB180525","ASKAP","27.4","78.9"
"FRB180924","ASKAP","194","12.3"
"FRB181112","ASKAP","19.3","null"
"FRB190102","ASKAP","14","null"
"FRB190608","ASKAP","16.1","null"
"FRB190611","ASKAP","9.3","null"
"FRB190711","ASKAP","23.8","null"
"FRB121102","arecibo","14","0.4"
"FRB141113","arecibo","8.4","0.039"
"FRB191108","Apertif","103","27"
