tns_name,previous_name,repeater_name,snr_fitb,dm_fitb,dm_fitb_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes
FRB20180725A,180725.J0613+67,-9999,33.2,715.809,0.004,2,1,-9999,4,2,-9999
FRB20180727A,180727.J1311+26,-9999,12.2,642.13,0.02,0.6,0.3,-9999,2.3,0.8,-9999
FRB20180729A,180729.J1316+55,-9999,206.6,109.5942,0.0003,12,7,-9999,20,10,-9999
FRB20180729B,180729.J0558+56,-9999,22,317.224,0.004,0.9,0.6,-9999,1.2,0.7,-9999
FRB20180730A,180730.J0353+87,-9999,89.8,848.904,0.002,5,3,-9999,30,10,-9999
FRB20180801A,180801.J2130+72,-9999,40.9,655.73,0.02,1.1,0.7,-9999,8,5,-9999
FRB20180806A,180806.J1515+75,-9999,14.4,739.948,0.008,2,2,-9999,8,7,-9999
FRB20180810A,180810.J0646+34,-9999,16.5,414.88,0.004,1.1,0.9,-9999,2,1,-9999
FRB20180810B,180810.J1159+83,-9999,55.1,169.139,0.002,5,1,-9999,8,2,-9999
FRB20180812A,180812.J0112+80,-9999,20.5,802.45,0.03,0.9,0.6,-9999,5,3,-9999
FRB20180814B,180814.J1554+74,-9999,24.4,238.347,0.003,3,3,-9999,11,8,-9999
FRB20180814B,180814.J1554+74,-9999,24.4,238.347,0.003,3,3,-9999,11,8,-9999
FRB20180814A,180814.J0422+73,FRB20180814A,22.1,189.29,0.08,0.4,0.3,-9999,3,1,-9999
FRB20180817A,180817.J1533+42,-9999,65.1,1006.771,0.008,2,2,-9999,30,20,-9999
FRB20180904A,-9999,-9999,74.6,361.1374,0.0008,4,2,-9999,6,3,-9999
FRB20180906A,-9999,-9999,10.9,383.46,0.01,2,1,-9999,3,1,-9999
FRB20180906B,-9999,-9999,17.9,3038.06,0.02,0.4,0.2,-9999,1.5,0.9,-9999
FRB20180907D,-9999,-9999,13.8,1447.1,0.01,0.9,0.6,-9999,5,2,-9999
FRB20180907A,-9999,-9999,25.4,877.24,0.01,0.9,0.6,-9999,3,1,-9999
FRB20180907B,-9999,-9999,19.3,658.19,0.005,1.1,0.7,-9999,3,2,-9999
FRB20180907C,-9999,-9999,17.1,638.2,0.003,1.1,0.5,-9999,1.5,0.7,-9999
FRB20180907E,-9999,-9999,20.3,383.4,0.1,0.7,0.5,-9999,7,4,-9999
FRB20180908B,180908.J1232+74,FRB20180908B,30.2,195.239,0.006,1.2,0.5,-9999,5,2,-9999
FRB20180909A,-9999,-9999,13.9,408.65,0.08,0.3,0.2,-9999,1,0.4,-9999
FRB20180910A,-9999,-9999,50.4,684.408,0.001,7,3,-9999,6,3,-9999
FRB20180911C,-9999,FRB20180814A,23.3,189.8,0.2,1,0.5,-9999,6,2,-9999
FRB20180911A,-9999,-9999,26.8,221.25,0.01,2,1,-9999,3,2,-9999
FRB20180915A,-9999,-9999,16.3,371.03,0.01,2,1,-9999,6,3,-9999
