frb_name,telescope,SNR,Peak Flux (Jy),Luminosity Distance (Gpc),Redshift,DM,width (ms),fluence (Jy ms)
FRB170107,ASKAP,16,24.1,2.72,0.48,609.5,2.4,58.00
FRB170416,ASKAP,13,19.4,2.21,0.4,523.2,5,97.00
FRB170428,ASKAP,10.5,7.7,5.03,0.79,991.7,4.4,34.00
FRB170707,ASKAP,9.5,14.8,0.8,0.17,235.2,3.5,52.00
FRB170712,ASKAP,12.7,37.8,1.15,0.23,312.79,1.4,53.00
FRB170906,ASKAP,17,29.6,1.52,0.29,390.3,2.5,74.00
FRB171003,ASKAP,13.8,40.5,1.89,0.35,463.2,2,81.00
FRB171004,ASKAP,10.9,22,1.11,0.22,304,2,44.00
FRB171019,ASKAP,23.4,40.5,1.89,0.35,460.8,5.4,219.00
FRB171020,ASKAP,19.5,117.6,0.29,0.06,114.1,3.2,200.00
FRB171116,ASKAP,11.8,19.6,2.76,0.49,618.5,3.2,63.00
FRB171213,ASKAP,25.1,88.6,0.47,0.1,158.6,1.5,133.00
FRB171216,ASKAP,8,21,0.66,0.14,203.1,1.9,40.00
FRB180110,ASKAP,35.6,128.1,3.32,0.56,715.7,3.2,420.00
FRB180119,ASKAP,15.9,40.7,1.6,0.31,402.7,2.7,110.00
FRB180128.0,ASKAP,12.4,17.5,1.82,0.34,441.4,2.9,51.00
FRB180128.2,ASKAP,9.6,28.7,2.06,0.38,495.9,2.3,66.00
FRB180130,ASKAP,10.2,23.1,1.29,0.25,343.5,4.1,95.00
FRB180131,ASKAP,13.8,22.2,2.97,0.51,657.7,4.5,100.00
FRB180212,ASKAP,18.3,53,0.52,0.11,167.5,1.81,96.00
FRB180315,ASKAP,10.4,23.3,2,0.37,479,2.4,56.00
FRB180324,ASKAP,9.8,16.5,1.57,0.3,431,4.3,71.00
FRB180417,ASKAP,24.2,21.8,2.03,0.37,474.8,2.52,55.00
FRB180430,ASKAP,28.2,147.5,0.38,0.08,264.1,1.2,177.00
FRB180515,ASKAP,12.1,24.2,0.99,0.2,355.2,1.9,46.00
FRB180525,ASKAP,27.4,78.9,1.55,0.3,388.1,3.8,300.00
FRB180924,ASKAP,194,12.3,1.81,0.34,361.42,1.3,16.00
FRB181112,ASKAP,19.3,null,2.23,0.41,589.27,2.1,26.00
FRB190102,ASKAP,14,null,1.3,0.26,363.6,1.7,14.00
FRB190608,ASKAP,16.1,null,1.28,0.25,338.7,6,26.00
FRB190611,ASKAP,9.3,null,1.1,0.22,321.4,2,10.00
FRB190711,ASKAP,23.8,null,2.5,0.45,593.1,6.5,34.00
